idx,나이,클릭 장소 목록,클릭 포스트 목록,클릭 영상 목록,상품목록1(결제화면),상품목록2(결제),상품목록3(장바구니),좋아요(상품),좋아요(스팟),북마크(상품),북마크(스팟),결제상품 목록,관심 아이템,관심 아웃도어
3177,46,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3178,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3180,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3181,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3182,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3184,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3185,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3186,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3187,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3188,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3189,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3190,31,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3191,49,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3193,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3197,35,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3198,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3199,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3200,36,,,,,,,,,,,,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
3201,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3202,44,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3203,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3204,50,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3205,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3206,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3229,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3230,28,,,,,,,,,,,,,
3231,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3232,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3233,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3234,31,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
3235,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3237,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3238,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3239,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3241,31,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3242,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3244,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3245,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3246,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3247,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3248,28,,,,,,,,,,,,,
3249,29,,,,,,,,,,,,,
3250,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3251,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3252,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3253,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3254,26,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3255,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3256,45,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3258,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3259,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3260,71,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
3261,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3262,34,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
3263,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3264,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3265,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3266,34,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3267,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3268,41,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3269,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3271,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3274,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3275,49,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3276,51,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3278,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3279,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3280,39,,,,,,,,,,,,,
3281,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3282,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3283,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3284,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3285,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3286,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3287,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3288,50,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3289,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3290,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3291,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3293,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3294,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3295,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3296,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3297,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3298,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3299,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3300,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3301,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3302,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3303,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3304,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3305,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3306,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3307,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3308,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3309,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3310,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3311,45,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3312,50,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3313,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3314,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3315,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3316,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3317,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3318,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3322,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3323,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3324,52,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3325,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3326,36,,,,,,,,,,,,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
3327,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3328,27,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3329,40,,,,,,,,,,,,,
3330,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3331,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3332,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3334,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3335,49,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3336,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3337,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3338,31,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3339,33,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3340,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3341,32,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3342,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3343,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3344,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3345,30,,,,,,,,,,,,,
3346,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3350,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3352,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3353,53,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3354,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3355,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3356,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3357,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3358,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3359,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3386,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3390,34,,,,,,,,,,,,,
3392,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3399,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3400,31,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3401,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3404,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3405,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3406,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3407,32,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3409,49,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3410,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3415,28,,,,,,,,,,,,,"[0,0,1,0,0,0,0,0,0,0]"
3416,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3417,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3418,51,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3419,30,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
3420,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3421,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3422,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3423,49,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
3424,30,,,,,,,,,,,,,
3426,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3427,43,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
3428,40,,,,,,,,,,,,,
3429,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3430,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3431,29,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3432,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3433,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3434,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3435,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3436,28,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3444,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3445,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3446,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3447,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3448,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3449,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3450,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3451,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3452,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3453,29,,,,,,,,,,,,,
3454,32,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3455,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3456,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3457,52,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3459,51,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3460,47,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3461,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3462,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3463,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3464,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3467,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3468,44,,,,,,,,,,,,,
3469,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3470,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3471,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3472,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3473,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3474,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3475,30,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3476,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3477,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3479,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3480,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3481,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3482,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3483,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3484,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3485,35,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3489,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3490,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3491,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3492,50,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3493,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3495,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3497,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3500,40,,,,,,,,,,,,,
3501,42,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3502,28,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3503,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3504,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3505,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3506,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3507,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3508,37,,,,,,,,,,,,,
3509,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3510,48,,,,,,,,,,,,,
3511,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3512,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3513,45,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3514,48,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3515,45,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3516,48,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3517,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3518,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3519,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3520,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3525,22,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
3527,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3528,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3529,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3530,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3531,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3532,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3533,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3534,51,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3535,,,,,,,,,,,,,,
3536,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3538,59,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3539,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3540,50,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3541,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3542,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3543,39,,,,,,,,,,,,,
3545,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3546,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3547,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3548,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3549,29,,,,,,,,,,,,,
3559,36,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3567,49,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3568,34,,,,,,,,,,,,,
3569,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3570,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3571,,,,,,,,,,,,,,
3572,,,,,,,,,,,,,,
3573,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3574,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3575,,,,,,,,,,,,,,
3576,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3577,,,,,,,,,,,,,,
3578,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3579,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3580,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3581,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3582,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3583,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3584,27,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3585,54,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3586,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3587,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3588,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3589,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3590,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3591,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3592,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3593,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3594,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3595,,,,,,,,,,,,,,
3596,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3597,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3598,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3599,45,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3600,47,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3601,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3602,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3603,31,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3604,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3605,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3606,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3607,49,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3608,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3609,32,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
3610,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3611,26,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3612,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3613,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3614,44,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3615,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3616,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3617,45,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3618,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3619,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3620,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3621,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3622,41,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
3623,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3624,43,,,,,,,,,,,,,
3625,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3626,34,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
3627,31,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
3628,46,,,,,,,,,,,,,
3629,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
3630,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3631,46,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3632,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3633,30,,,,,,,,,,,,,
3634,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3635,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3636,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3637,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3638,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3639,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3640,40,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
3641,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3642,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3643,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3644,33,,,,,,,,,,,,,
3645,35,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
3646,47,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3647,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3648,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3649,43,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3650,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3651,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3652,47,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
3653,37,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
3654,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3655,47,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3656,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3657,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3658,25,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
3659,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
